"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"423";11;38;4;23;1;9727913;9730568;2655;0;0;1
"424";11;8;2;24;1;9739238;9741913;2675;1;1;1
"425";11;20;2;25;1;9757472;9759730;2258;1;1;1
"426";11;24;2;26;1;9787333;9789498;2165;0;0;1
"427";11;40;2;27;1;9796462;9798518;2056;0;0;1
"428";11;2;4;28;1;9808578;9812836;4258;1;1;1
"429";11;16;2;29;1;9837335;9840207;2872;1;1;1
"430";11;12;2;30;1;9886520;9889386;2866;1;1;1
"431";11;26;4;31;1;9900177;9903652;3475;0;0;1
"432";11;34;4;32;1;9921243;9924316;3073;0;0;1
"433";11;18;4;33;1;9968143;9970792;2649;1;1;1
"434";11;6;4;34;1;9988460;9990882;2422;1;1;1
"435";11;4;2;35;1;9997619;10000450;2831;1;1;1
"436";11;28;2;36;1;10009880;10015980;6100;0;1;0
"437";11;22;4;37;1;10024223;10027443;3220;0;0;1
"438";11;30;4;38;1;10090456;10093040;2584;0;0;1
"439";11;32;2;39;1;10127461;10130217;2756;0;0;1
"440";11;14;4;40;1;10139291;10142049;2758;1;1;1
"441";12;9;4;1;1;12359804;12362239;2435;1;1;1
"442";12;35;2;2;1;12379951;12382627;2676;0;0;1
"443";12;37;4;3;1;12392096;12394626;2530;0;0;1
"444";12;7;2;4;1;12400501;12404228;3727;1;1;1
"445";12;19;2;5;1;12416749;12419315;2566;1;1;1
"446";12;23;2;6;1;12445911;12448148;2237;0;0;1
"447";12;39;2;7;1;12455238;12457733;2495;0;0;1
"448";12;1;4;8;1;12467121;12469731;2610;1;1;1
"449";12;15;2;9;1;12490061;12492416;2355;1;1;1
"450";12;11;2;10;1;12669489;12672406;2917;1;1;1
"451";12;25;4;11;1;12679287;12681485;2198;0;0;1
"452";12;33;4;12;1;12700110;12702231;2121;0;0;1
"453";12;17;4;13;1;12738035;12740225;2190;1;1;1
"454";12;5;4;14;1;12755083;12757890;2807;1;1;1
"455";12;3;2;15;1;12765592;12768067;2475;1;1;1
"456";12;27;2;16;1;12775608;12778021;2413;0;0;1
"457";12;21;4;17;1;12785323;12788030;2707;0;0;1
"458";12;29;4;18;1;12837132;12839225;2093;0;0;1
